freqs:, k index, k1, k2, k3, kmag/2pi, band 1, band 2, band 3, band 4, band 5
freqs:, 1, 0, 0.5, 0.5, 1, 0.38015, 0.381243, 0.495263, 0.496788, 0.541208
freqs:, 2, 0, 0.525, 0.475, 1.0025, 0.380386, 0.382168, 0.495624, 0.497176, 0.537208
freqs:, 3, 0, 0.55, 0.45, 1.00995, 0.380966, 0.38483, 0.496711, 0.498342, 0.526501
freqs:, 4, 0, 0.575, 0.425, 1.02225, 0.381461, 0.388864, 0.498536, 0.500287, 0.511601
freqs:, 5, 0, 0.6, 0.4, 1.03923, 0.381077, 0.393446, 0.49495, 0.501109, 0.503014
freqs:, 6, 0, 0.625, 0.375, 1.06066, 0.378621, 0.396729, 0.479263, 0.504433, 0.506514
freqs:, 7, 0, 0.6, 0.3, 0.994987, 0.369582, 0.388559, 0.467091, 0.487657, 0.518291
freqs:, 8, 0, 0.575, 0.225, 0.940744, 0.356415, 0.3702, 0.457212, 0.470085, 0.538724
freqs:, 9, 0, 0.55, 0.15, 0.9, 0.344555, 0.351994, 0.449598, 0.455588, 0.552575
freqs:, 10, 0, 0.525, 0.075, 0.874643, 0.336533, 0.339294, 0.444662, 0.446211, 0.562057
freqs:, 11, 0, 0.5, 0, 0.866025, 0.333545, 0.334937, 0.442371, 0.443555, 0.565558
freqs:, 12, 0, 0.4, 0, 0.69282, 0.299948, 0.301256, 0.47018, 0.471285, 0.567351
freqs:, 13, 0, 0.3, 0, 0.519615, 0.235132, 0.236238, 0.517406, 0.518221, 0.572633
freqs:, 14, 0, 0.2, 0, 0.34641, 0.160616, 0.161417, 0.560554, 0.560855, 0.580923
freqs:, 15, 0, 0.1, 0, 0.173205, 0.0813864, 0.0818061, 0.587706, 0.587881, 0.59052
freqs:, 16, 0, 0, 0, 0, 0, 0, 0.59559, 0.595819, 0.595839
freqs:, 17, 0, 0.1, 0.1, 0.2, 0.09409, 0.0944497, 0.585515, 0.585945, 0.591581
freqs:, 18, 0, 0.2, 0.2, 0.4, 0.185559, 0.18625, 0.566601, 0.567223, 0.582064
freqs:, 19, 0, 0.3, 0.3, 0.6, 0.271029, 0.271988, 0.54694, 0.547286, 0.568741
freqs:, 20, 0, 0.4, 0.4, 0.8, 0.343862, 0.344966, 0.517995, 0.519047, 0.546787
freqs:, 21, 0, 0.5, 0.5, 1, 0.38015, 0.381243, 0.495263, 0.496788, 0.541211
freqs:, 22, 0.05, 0.55, 0.5, 1.00499, 0.381309, 0.382411, 0.495948, 0.497425, 0.535972
freqs:, 23, 0.1, 0.6, 0.5, 1.0198, 0.384516, 0.385642, 0.497116, 0.498376, 0.526212
freqs:, 24, 0.15, 0.65, 0.5, 1.04403, 0.388899, 0.39006, 0.495493, 0.496211, 0.520861
freqs:, 25, 0.2, 0.7, 0.5, 1.07703, 0.392891, 0.394091, 0.490499, 0.490808, 0.523021
freqs:, 26, 0.25, 0.75, 0.5, 1.11803, 0.394551, 0.395772, 0.487945, 0.488132, 0.526056
freqs:, 27, 0.275, 0.75, 0.475, 1.09772, 0.391745, 0.39651, 0.484446, 0.491809, 0.5199
freqs:, 28, 0.3, 0.75, 0.45, 1.08167, 0.387217, 0.396766, 0.481876, 0.494898, 0.514052
freqs:, 29, 0.325, 0.75, 0.425, 1.07005, 0.383285, 0.396393, 0.480245, 0.4979, 0.509392
freqs:, 30, 0.35, 0.75, 0.4, 1.06301, 0.380687, 0.395955, 0.479389, 0.501411, 0.506376
freqs:, 31, 0.375, 0.75, 0.375, 1.06066, 0.379784, 0.395774, 0.479133, 0.505118, 0.505264
